Name	x	y
Anonymous-Ferrum	-0.003869973588734865	0.057453230023384094
Anpanman	0.07415437698364258	0.02750415727496147
Anubis	0.10179614275693893	0.05299421399831772
Anzu	0.04068545252084732	0.0595918744802475
Apocalypse	0.05807245895266533	0.040676821023225784
Apolia Scarlet	0.04618937894701958	0.059926196932792664
Aqua Blaze Nitori	0.07854293286800385	0.026798859238624573
Arai-Jado	0.08567845821380615	0.06483617424964905
Arc	0.13446220755577087	0.11000627279281616
Arcadia ACE	0.03324008733034134	0.043374087661504745
Arch Mage Alice	0.04941043257713318	0.0569942370057106
Archimurderer	0.02919578179717064	0.08266625553369522
Architect 341	0.0476837232708931	0.07792545109987259
Ares EX	0.019684752449393272	0.07332255691289902
Arimund Seyfarth	0.065672867000103	0.051254887133836746
Armor Vegeta Z2	0.07874052971601486	-0.003991777077317238
Arrabella Rose	0.05414251238107681	0.03753100708127022
Arrange Mario	0.03012300282716751	0.10225304961204529
Arrange Vice	0.05560919642448425	0.06343739479780197
Arthas	0.015962382778525352	0.03555421158671379
Aruaru-Orochi	0.019517522305250168	0.027732478454709053
Ash Zako	0.047509998083114624	0.00463107181712985
Ash-M	0.06551624089479446	0.05043923109769821
Aspectus	0.019446704536676407	0.030363518744707108
Asura's Wrath	0.08131325244903564	0.036186814308166504
Athene	0.08487258851528168	0.028308432549238205
Atomic Dust Amiba	0.07145430147647858	0.041681550443172455
Atomic Ralf	0.0014192964881658554	0.07366222143173218
Atomic Suika	0.09855566918849945	0.06623335927724838
Auau	0.04270487278699875	0.08745739609003067
Avenger Heidern	0.09105600416660309	0.053256358951330185
Awakened K-BW	0.04705651476979256	0.07848632335662842
Awakened Kyo	0.021445367485284805	0.06829703599214554
Awakened Spera	0.06250496953725815	-0.0009940937161445618
AwwMAwwKUwwSAww	0.06929749250411987	0.05790775641798973
Axeria	0.044397834688425064	0.029088962823152542
Aya	0.04141782596707344	0.054615262895822525
Ayanan_C	0.04648248106241226	0.024266580119729042
Azazel	0.07908439636230469	0.09445853531360626
A_Geese	0.12907753884792328	0.0744033232331276
A_Hnki-Kyo	0.03954053297638893	0.06592323631048203
A_Nanaya	0.05240745469927788	0.05356575921177864
B-Adel	0.027602149173617363	0.06330709159374237
B-Shindou	0.07859021425247192	0.014261637814342976
B-W-Oswald	0.03959440812468529	0.06971505284309387
B. Flandre Scarlet	0.028792575001716614	0.11097166687250137
B. Gustab M.	0.026324162259697914	0.005005621816962957
Bagan	0.0564240887761116	0.030722299590706825
Baka Gustab M.	0.05939418077468872	0.08359942585229874
Baldi	0.09011852741241455	0.06818465143442154
Banana Shiki	0.03540073335170746	0.09122522175312042
Barbatos	0.005436094012111425	0.03335077315568924
Barbatos Goetia	0.09083998203277588	0.08882888406515121
Barbatos Komachi D2	0.05568492040038109	0.05373441055417061
Barom	0.038198329508304596	0.07127455621957779
Baseball Angel Kana-chan	0.04548255726695061	0.009277122095227242
Battle Nanaya	0.05085069686174393	0.01554642803966999
Beast Yeorin	0.038930002599954605	0.08577081561088562
Beautiful Zantetsu	0.024969670921564102	0.08469658344984055
Beelzebub	0.05198442563414574	0.08092717826366425
Beelzebub-W	0.05090538412332535	0.10149524360895157
Beerus EX	0.04104949161410332	0.07953334599733353
Beerus the Destroyer	0.09620025008916855	0.09458274394273758
Ben	0.035210512578487396	0.02304072119295597
Berserk	0.07947038859128952	0.08202556520700455
Berserk Rugal	0.028920454904437065	0.05315498635172844
Berserk Sakuya	0.038952216506004333	0.06559363752603531
Berserker Misaki	0.045162275433540344	0.07326863706111908
Berserker-M	0.06453152745962143	0.07157131284475327
Beyond SSJ Blue Princess Peach	0.07458359748125076	0.0906054899096489
Bias Onslaught	0.07904139161109924	0.030759893357753754
Big Rugal	0.06069546192884445	0.015093094669282436
Biksionary	0.06360121816396713	0.07534614950418472
Black & White Hina	0.04643498733639717	0.06116356700658798
Black Apocalypse	0.06302739679813385	0.07041539996862411
Black Core	0.08133798837661743	0.0603291392326355
Black Goddess Patchouli	0.05263484641909599	0.06295233219861984
Black Iku V2	0.016108158975839615	0.0471232533454895
Black Kulou	0.07628411799669266	0.11096400022506714
Black Rabi	0.031176229938864708	0.10490459948778152
Black Viper	0.039239950478076935	0.025849074125289917
Black White	0.030446451157331467	0.02640458010137081
Blanka-F	0.02994563616812229	0.04622574523091316
Blast Suika	0.022077417001128197	0.02493179589509964
Blaster	0.040325749665498734	0.011140534654259682
Blizzard Sword Princess	0.06569985300302505	0.05388564243912697
Blond Wolf	0.11379704624414444	0.11046025902032852
Blood Berserker	0.06061139330267906	0.06207109987735748
Blood Disaster Suwako	0.07634951919317245	0.03344026952981949
Blood Evil Rindou	0.034609757363796234	0.08336642384529114
Blood Stain	0.0505211241543293	0.11449120938777924
Bloody Chaos	0.054505009204149246	0.0421735905110836
Bloody Roa	0.027116619050502777	0.012375082820653915
Bloody Shimo	0.03577207028865814	0.09812714904546738
Blossom Princess Yuyuko	0.07994673401117325	0.06267218291759491
Blue Intense Wind Misaki	0.015388199128210545	0.07614196836948395
Bob	0.04789330065250397	0.005430797580629587
Bomber Hugo	0.0436440147459507	0.0322892926633358
Boneless Sword	0.062161631882190704	0.04968869313597679
Bospider	0.05612676963210106	0.05466640740633011
Boss Adelheid	0.025751391425728798	0.05255366489291191
Boss Alvaaron	0.007507851347327232	0.07952184975147247
Boss Final Khriz	0.10363498330116272	0.031564194709062576
Boss Final Nao	0.07561613619327545	0.09191959351301193
Boss God Rugal	0.07803568243980408	0.06361038237810135
Boss Gustab M.	0.03455919027328491	0.033998217433691025
Boss Krizalid	-0.0015464038588106632	0.07461103796958923
Boss Kung Fu Man	0.058039676398038864	0.04303722828626633
Boss Meld	0.04778272658586502	0.03144533932209015
Boss Mery White	0.06937461346387863	0.03962608799338341
Boss Nao	0.05106161907315254	0.06343057751655579
Boss Oswald	0.025499768555164337	0.020299121737480164
Boss Tesse	0.09689550846815109	0.085606649518013
Boss W.F. Kyo	0.10179928690195084	0.033639535307884216
Boss Zeroko	0.0520646832883358	0.04873030260205269
Bou Ken	0.037181153893470764	0.09095815569162369
Boueie Defense Systems	0.08159255236387253	0.01718028634786606
Bousou Rozwel	0.07246971130371094	0.050460126250982285
Bouyou	0.08184761554002762	0.010776674374938011
Broom of Marisa	0.06485335528850555	0.058085884898900986
Budet	0.07153673470020294	0.007999924011528492
Bug Rei	0.05043879151344299	0.056796085089445114
Buster Kain	0.004246400203555822	0.051257550716400146
Buster Marco	0.0794796347618103	0.053524043411016464
Byakuren Azure	0.05304843559861183	0.03570365533232689
B_Komachi	0.07600186765193939	0.011341886594891548
C-F-Kain	0.0837545096874237	0.04018120840191841
C-Grant	0.06972571462392807	0.03281117603182793
C-Kyon	0.04145229235291481	0.05935833975672722
CA	0.04927495867013931	0.06152939051389694
Case 666	0.0343317873775959	0.07054552435874939
Caser Yashiro	0.06897269934415817	0.02050822600722313
CCHouou	0.05323939770460129	0.08306880295276642
CD	0.04411844164133072	0.06397280097007751
Celene	0.1088169515132904	0.04130507633090019
Celene v2	0.036986343562603	0.049786340445280075
Celene v3	0.051609236747026443	0.012340116314589977
Cell UB22	0.05470401048660278	0.06812078505754471
Chaos Suika	0.06613746285438538	0.11076482385396957
Charlotte PH	0.08187343925237656	0.05950814113020897
Cheapest KFM!!!	0.10520832240581512	0.10998577624559402
Cheatman	0.02358447015285492	0.02099987119436264
Chesspiece Royaloid	0.03241188824176788	0.06289152801036835
Chilly	0.08859303593635559	0.009167402982711792
Chin Star	0.049938540905714035	0.05042189732193947
Chipp Zanuff(GG)	0.09127164632081985	0.06448891758918762
