Match ID:781707, Blue: Mr. Kyo (old), Red: Phenomenon
Match ID:781493, Blue: Serena (old), Red: Lina 2
Match ID:781467, Blue: Geirolul, Red: AMX-002 Neue Ziel (old)
Match ID:781323, Blue: Mr. Dragon-JC ⇒ Mahilo (old) ⇒ Will of Luigi, Red: Ninja Tharja ⇒ Violet Thunder Iku ⇒ Volcano
Match ID:781193, Blue: MVC Jin Kisaragi, Red: Antman (old)
Match ID:781044, Blue: El Fuerte (old) / Marisa Chipp, Red: Uzeusama / Iria Silvestoli
Match ID:780893, Blue: MVC Spiral / Dodo, Red: Perfect Tensai / Kagerou_F (old)
Match ID:780782, Blue: C-STM-00X ⇒ Golem ⇒ Magic Pot ⇒ SG-UFO, Red: Ah Owatta........! ⇒ Iwa-Ku (old) ⇒ Paragus ⇒ Tom
Match ID:780047, Blue: Roy Wilson 0D, Red: Satomi Yajima (old)
Match ID:779797, Blue: Xion (old), Red: Iku
Match ID:779665, Blue: Pac-Man (old), Red: Megaman EXE
Match ID:779482, Blue: Mai Shiranui DM ⇒ Shandera-k ⇒ Zero VGA ⇒ SF1 Sagat, Red: Mature XIII ⇒ Xion (old) ⇒ Anji Mito ⇒ Kyouko
Match ID:779265, Blue: Nanase BBTag (old), Red: Tiny Tenko
Match ID:779246, Blue: Mr. Kyo (old) / Super C Final Boss, Red: Vlad-Rose / Congelatio Gladiator
Match ID:779183, Blue: Mr. Kyo (old) / Mr. Iori, Red: Mr. Kyo-Another / Mr. Iori-Another
Match ID:779005, Blue: Ikai no Mamono (old) ⇒ MVC Jin Kisaragi ⇒ Bardock MrA ⇒ Mudman NGBC, Red: Cyclops M07 ⇒ Hanyuu ⇒ Ithorskia ⇒ Chaborin
Match ID:778741, Blue: Aldo (dupe) ⇒ Ichigo, Red: Kyoko Type S ⇒ Vindas Tyron
Match ID:778630, Blue: Serena (old) / Leo, Red: Marx / Tora Shou
Match ID:778457, Blue: Mahilo (old), Red: Einherjar Red Milite
Match ID:778433, Blue: Mr. Kyo (old) / Mr. Iori, Red: Mr. Kyo-Another / Mr. Iori-Another
Match ID:778421, Blue: Kyo XIII Classic / Mr. Iori, Red: Mr. Kyo (old)
Match ID:778415, Blue: Kogacyclops / Yuyuko Souki (old), Red: Totemotuyotaro / Phantomsheet
Match ID:778413, Blue: Armor Vegeta Z2 / Destiny Dio, Red: Mr. Kyo (old)
Match ID:778340, Blue: Antman (old) / Gizmo MKT, Red: Alaric / Skaxl Roa
Match ID:778314, Blue: Kogacyclops / Yuyuko Souki (old), Red: Hraesvelgr / Clark Still
Match ID:778304, Blue: Goblin, Red: Boo SSJ (old)
Match ID:778033, Blue: Vectorman (old), Red: Gunloc
Match ID:778032, Blue: Vectorman (old), Red: CVS Ryu Chaos
Match ID:778031, Blue: Vectorman (old), Red: Rajaa Len
Match ID:777919, Blue: Ninjaslayer, Red: El Fuerte (old)
Match ID:777900, Blue: Goenitz L ⇒ Lady ⇒ MVC Roll ⇒ Neo Dio WHP, Red: Metabee ⇒ Reimu RSR ⇒ Cheaper ⇒ Rimul Aileron (old)
Match ID:777897, Blue: Brass ⇒ Shiki ZS ⇒ Agumon ⇒ Cammy HD, Red: Proofed Up Matt ⇒ Ghost Rider ⇒ Knuckles L6 (old) ⇒ Takkun
Match ID:777893, Blue: Demon Type-Zero ⇒ Kusaka ⇒ Rikuo ⇒ Masked Rider Agito Burning Form, Red: Metabee ⇒ Reimu RSR ⇒ Cheaper ⇒ Rimul Aileron (old)
Match ID:777891, Blue: S-Yuri / Serika, Red: Kogacyclops / Yuyuko Souki (old)
Match ID:777639, Blue: Satomi Yajima (old), Red: Yuka Takeuchi
Match ID:777515, Blue: Quote ⇒ Nanase BBTag (old) ⇒ Yumi BBTag ⇒ Iori Yagami BBTag, Red: Pope Benedict ⇒ Akatsuki BBTag ⇒ Saya BBTag ⇒ Mai Natsume BBTag
Match ID:777425, Blue: Sinobu, Red: Bathory (old)
Match ID:777396, Blue: Nightmare Sparkle, Red: Mr. Kyo (old)
Match ID:777294, Blue: K_Lieselotte, Red: Ikai no Mamono (old)
Match ID:777059, Blue: Rimul Aileron (old) ⇒ Geese L ⇒ Pr. Robbins MKT ⇒ Tin's Fernandeath, Red: Zero Celica ⇒ MVC Rolento ⇒ Ogihci ⇒ Yuusuke Urameshi
Match ID:777053, Blue: Kirito, Red: Black Panther (old)
Match ID:776932, Blue: Destiny Dio / Armor Vegeta Z2, Red: Mr. Kyo (old)
Match ID:776745, Blue: Demitri, Red: Eclipse Sion TATARI AACC (old)
Match ID:776729, Blue: Kotohime / Sattin (old), Red: S. Uranus / Kasumi Todoh KOF-E
Match ID:776358, Blue: Syuzo Matsuoka ⇒ Young Link EX ⇒ Senya Fieya ⇒ Yukina (old v2), Red: Strongheart ⇒ Plum ⇒ Kung Fu Man KOF ⇒ Silkheart
Match ID:776279, Blue: Assassin Cross, Red: MVC2 Unknown (old)
Match ID:776268, Blue: Antman (old) / Super Mario Kart, Red: Jin bros / Chang the Red Aqueous
Match ID:776147, Blue: Hon-Fu RB, Red: Aner MKX (old)
Match ID:775926, Blue: Pac-Man (old), Red: Hoshi Kage
Match ID:775910, Blue: Ice Climber ⇒ Repairman MKT ⇒ NF-Kyo ⇒ Otane Oume, Red: CFJ Hauzer ⇒ F.Tarantula ⇒ Nanase BBTag (old) ⇒ Scream
Match ID:775844, Blue: Ikai no Mamono (old), Red: Vamdemon
Match ID:775794, Blue: Precious Angelique, Red: AMX-002 Neue Ziel (old)
Match ID:775773, Blue: Yashiro ⇒ BSB Dark Samus ⇒ Pac-Man (old) ⇒ Alien Spinner S, Red: Man ⇒ MVC Iceman ⇒ Sync ⇒ Arrange Unknown
Match ID:775686, Blue: Half Moon Sion TATARI AACC (old) / Saizo Tobikageno, Red: Arajin God Mk. II
Match ID:775569, Blue: Zealot, Red: El Fuerte (old)
Match ID:775496, Blue: Asuka 0D, Red: Azusa (old)
Match ID:775056, Blue: Satomi Yajima (old), Red: Manami Kusunoki
Match ID:775047, Blue: Rimul Aileron (old) ⇒ Mo-Mo- ⇒ Hinata ⇒ Akirame Miko, Red: UVA-02 Helion ⇒ Maria Traydor ⇒ Irisu-san ⇒ Deoxys
Match ID:775043, Blue: Antman (old) / Meiling Jam, Red: Ron Max / Tony Won
Match ID:774893, Blue: Aldo (dupe), Red: Arashi
Match ID:774868, Blue: Mr. Kyo (old), Red: A-Mishio
Match ID:774475, Blue: Vectorman (old), Red: Zenryoku
Match ID:773353, Blue: Kira and Len / Kira Yoshikage, Red: 4th Jotaro (old) / ASB Josuke
Match ID:772895, Blue: Pac-Man (old), Red: Miku EX
Match ID:772757, Blue: Android 18, Red: Yuyuko Souki (old)
Match ID:772657, Blue: Morgan CSX ⇒ Urien ⇒ Terry Bogard Z ⇒ Mienshao, Red: Amakusa ⇒ Azusa (old) ⇒ Seravy ⇒ Shimikaze ATM
Match ID:772384, Blue: Matchouli / Yuyuko Souki (old), Red: Miss Drunky / Ragna
Match ID:772219, Blue: CVS Athena ⇒ Black Panther (old) ⇒ Sentinel ⇒ Mai Tsurugino, Red: Tyrant_A ⇒ Snow Knight ⇒ Mini Rin Tohsaka ⇒ Ratchet & Clank
Match ID:771981, Blue: Eclipse Nanaya / Leo Bradley 0D, Red: Code: Killed Destroyer / Iku-san (old)
Match ID:771595, Blue: AMX-002 Neue Ziel (old), Red: S_Sakuya
Match ID:771591, Blue: Gou the Inferno ⇒ Numeral KFM ⇒ Kasai EX, Red: D-Lion ⇒ AMX-002 Neue Ziel (old) ⇒ Tenrou
Match ID:771339, Blue: Half Moon Sion TATARI AACC (old), Red: MVC Makoto Nanaya
Match ID:771214, Blue: Halfkun, Red: Yukina (old v2)
Match ID:771079, Blue: Sentinel_A ⇒ SSFIV Oni (old) ⇒ Heart Climax ⇒ Kirin, Red: Cable ⇒ Dakki_R ⇒ Rugal Type Y ⇒ Rei JJ
Match ID:770868, Blue: Rocket Tank ⇒ Deidara, Red: Phoenix Wright ⇒ El Fuerte (old)
Match ID:770640, Blue: HRHS / Eclipse Sion TATARI AACC (old), Red: Mexican Typhoon
Match ID:770508, Blue: MVC Leo ⇒ Boo SSJ (old), Red: Angry Video Game Nerd ⇒ Neige Pebble
